Trait Domain,Category ID,Category Name,Field ID,Field Name,Column Codes,Type,Notes,Covariates adjusted,N,Prevalence,h2,SE,,Female N,Prev in Female,Female h2,Female SE,Male N,Prev in Male,Male h2,Male SE,,SES Quantile 0-12/36,SES Quantile 1/36-13/36,SES Quantile 2/36-14/36,SES Quantile 3/36-15/36,SES Quantile 4/36-16/36,SES Quantile 5/36-17/36,SES Quantile 6/36-18/36,SES Quantile 7/36-19/36,SES Quantile 8/36-20/36,SES Quantile 9/36-21/36,SES Quantile 10/36-22/36,SES Quantile 11/36-23/36,SES Quantile 12/36-24/36,SES Quantile 13/36-25/36,SES Quantile 14/36-26/36,SES Quantile 15/36-27/36,SES Quantile 16/36-28/36,SES Quantile 17/36-29/36,SES Quantile 18/36-30/36,SES Quantile 19/36-31/36,SES Quantile 20/36-32/36,SES Quantile 21/36-33/36,SES Quantile 22/36-34/36,SES Quantile 23/36-35/36,SES Quantile 24/36-1
Physical Measures,100007,Arterial stiffness,21021,Pulse wave Arterial Stiffness index,21021-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",34845,NA,0.0620,0.0114,,18158,NA,0.0651,0.0218,16687,NA,0.0847,0.0237,,0.0755,0.0616,0.0612,0.0369,0.0330,0.0608,0.0402,0.0240,0.0298,0.0057,0.0187,0.0283,0.0530,0.0771,0.0835,0.0973,0.1090,0.1096,0.0994,0.0780,0.0996,0.0873,0.0856,0.0770,0.0635
Physical Measures,100009,Impedance measures,23099,Body fat percentage,23099-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",106252,NA,0.2496,0.0038,,56259,NA,0.2418,0.0071,49993,NA,0.2599,0.0079,,0.2304,0.2251,0.2182,0.2170,0.2240,0.2226,0.2228,0.2200,0.2197,0.2211,0.2286,0.2336,0.2354,0.2418,0.2441,0.2638,0.2719,0.2774,0.2864,0.2692,0.2472,0.2386,0.2523,0.2358,0.2505
Physical Measures,100009,Impedance measures,23102,Whole body water mass,23102-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, weight",106252,NA,0.3311,0.0038,,56249,NA,0.3881,0.0071,50003,NA,0.3899,0.0079,,0.3122,0.3130,0.3066,0.3060,0.3163,0.3385,0.3318,0.3323,0.3195,0.3324,0.3383,0.3260,0.3224,0.3302,0.3159,0.3230,0.3240,0.3149,0.3126,0.3040,0.3023,0.2941,0.2836,0.2832,0.2904
Physical Measures,100009,Impedance measures,23105,Basal metabolic rate,23105-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",106311,NA,0.3965,0.0038,,56259,NA,0.3928,0.0071,50052,NA,0.4132,0.0079,,0.3884,0.3807,0.3674,0.3601,0.3532,0.3798,0.3683,0.3739,0.3500,0.3353,0.3524,0.3441,0.3521,0.3502,0.3776,0.3974,0.3951,0.3969,0.4101,0.3906,0.3978,0.3950,0.3820,0.3760,0.3946
Physical Measures,100009,Impedance measures,23106,Impedance of whole body,23106-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",106304,NA,0.3074,0.0038,,56248,NA,0.3137,0.0071,50056,NA,0.2922,0.0079,,0.2950,0.3032,0.2909,0.2888,0.2890,0.3186,0.3185,0.3305,0.3212,0.3266,0.3182,0.3113,0.3099,0.3107,0.3231,0.3408,0.3366,0.3219,0.3221,0.3051,0.3076,0.3004,0.2811,0.2868,0.2913
Physical Measures,100009,Impedance measures,23107,Impedance of leg (right),23107-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106275,NA,0.2934,0.0038,,56233,NA,0.3017,0.0071,50042,NA,0.2788,0.0079,,0.2840,0.2953,0.2721,0.2715,0.2834,0.3115,0.2929,0.3055,0.2989,0.2977,0.2838,0.2826,0.2932,0.2929,0.3110,0.3224,0.3099,0.2936,0.2977,0.2862,0.2837,0.2786,0.2706,0.2652,0.2692
Physical Measures,100009,Impedance measures,23108,Impedance of leg (left),23108-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106284,NA,0.2939,0.0038,,56244,NA,0.3011,0.0071,50040,NA,0.2760,0.0079,,0.2818,0.2886,0.2706,0.2758,0.2854,0.3180,0.3052,0.3213,0.3142,0.3124,0.3030,0.2997,0.3035,0.2962,0.3142,0.3214,0.3134,0.2969,0.2982,0.2895,0.2899,0.2861,0.2717,0.2683,0.2706
Physical Measures,100009,Impedance measures,23109,Impedance of arm (right),23109-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106268,NA,0.2667,0.0038,,56224,NA,0.2729,0.0071,50044,NA,0.2557,0.0079,,0.2482,0.2461,0.2434,0.2375,0.2336,0.2626,0.2686,0.2764,0.2761,0.2810,0.2756,0.2675,0.2623,0.2725,0.2798,0.2984,0.2903,0.2836,0.2809,0.2659,0.2649,0.2593,0.2410,0.2464,0.2533
Physical Measures,100009,Impedance measures,23110,Impedance of arm (left),23110-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106290,NA,0.2670,0.0038,,56242,NA,0.2725,0.0071,50048,NA,0.2642,0.0079,,0.2545,0.2593,0.2544,0.2473,0.2389,0.2652,0.2737,0.2807,0.2731,0.2820,0.2778,0.2691,0.2646,0.2752,0.2816,0.2962,0.2960,0.2823,0.2811,0.2637,0.2679,0.2618,0.2413,0.2464,0.2547
Physical Measures,100009,Impedance measures,23111,Leg fat percentage (right),23111-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106301,NA,0.2479,0.0038,,56251,NA,0.2349,0.0071,50050,NA,0.2474,0.0079,,0.2268,0.2183,0.2129,0.2127,0.2189,0.2175,0.2205,0.2147,0.2123,0.2159,0.2326,0.2410,0.2388,0.2447,0.2436,0.2619,0.2678,0.2736,0.2839,0.2610,0.2442,0.2318,0.2412,0.2315,0.2476
