ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
282,Lotteries & games,0,NA,41057,3887.38,184332,365.89,16964
70,Drugs,0,NA,25976,253182.08,9755333,11116.70,392108
122,Books,0,NA,30961,2558.57,45806,229.67,4184
98,Money,0,NA,14345,59878.77,2846025,3028.70,119525
93,Digital goods,0,NA,14996,3374.58,104761,310.77,8884
129,Erotica,0,NA,14095,2619.92,44575,237.46,3934
94,Services,0,NA,6428,6932.53,127047,401.92,7792
285,Custom Orders,0,NA,3626,74127.24,2631895,2190.46,92655
150,Forgeries,0,NA,3487,5198.14,197291,428.22,14132
207,Packaging,0,NA,2076,2059.16,86194,150.68,6112
127,Drug paraphernalia,0,NA,1179,868.87,26758,72.03,2010
120,Electronics,0,NA,1290,3625.29,110860,210.80,6436
134,Computer equipment,0,NA,824,1747.34,63966,123.18,4220
130,Medical,0,NA,473,416.69,9018,30.91,703
163,Fireworks,0,NA,458,1721.72,37089,137.08,2803
246,Hardware,0,NA,264,436.23,39443,27.84,2396
102,Jewelry,0,NA,255,420.41,16171,27.83,1021
298,Writing,0,NA,144,178.44,6295,14.47,479
117,Food,0,NA,198,214.65,4610,15.93,365
138,Collectibles,0,NA,149,385.03,19920,23.29,902
137,Apparel,0,NA,155,531.06,9520,38.36,639
75,Lab Supplies,0,NA,108,490.61,17542,29.01,938
141,Tickets,0,NA,98,566.15,4925,21.58,211
136,Art,0,NA,191,87.43,1934,7.24,169
169,Biotic materials,0,NA,68,71.95,1995,6.17,159
139,Musical instruments,0,NA,61,127.97,2575,11.06,225
114,Home & Garden,0,NA,34,12.59,992,.93,67
140,Sporting goods,0,NA,26,194.71,17326,5.44,473
257,Yubikeys,0,NA,23,222.75,1728,16.06,114
22,Weed,1,Cannabis,137117,996028.94,24502585,65223.00,1456963
23,Hash,1,Cannabis,55202,260884.01,6204143,17872.66,418069
26,Edibles,1,Cannabis,19745,37838.02,1050902,3015.10,81218
