"levelName","cancel_e","n_e","cancel_c","n_c","loss","P","profit"
"                                                                                ",0,0,0,0,0,NA,-23.1133053168907
" °--Control                                                                     ",0,0,0,0,NA,0.499909485264246,-23.1133053168907
"     ¦--Not.c                                                                   ",0,0,0,1,5.7,0.499899667570409,1.13437940726623
"     ¦   °--Control                                                             ",0,0,0,1,NA,NA,-4.56562059273377
"     ¦       ¦--Not.c                                                           ",0,0,0,2,5.7,0.667182773875385,10.8119505118018
"     ¦       ¦   °--Control                                                     ",0,0,0,2,NA,NA,5.11195051180177
"     ¦       ¦       ¦--Not.c                                                   ",0,0,0,3,5.7,0.750307252012837,15.5944869824834
"     ¦       ¦       ¦   °--Control                                             ",0,0,0,3,NA,NA,9.89448698248345
"     ¦       ¦       ¦       ¦--Not.c                                           ",0,0,0,4,5.7,0.799474790348409,17.2883656689496
"     ¦       ¦       ¦       ¦   °--Control                                     ",0,0,0,4,NA,NA,11.5883656689496
"     ¦       ¦       ¦       ¦       ¦--Not.c                                   ",0,0,0,5,5.7,0.833041390168447,16.9157463548153
"     ¦       ¦       ¦       ¦       ¦   °--Control                             ",0,0,0,5,NA,NA,11.2157463548153
"     ¦       ¦       ¦       ¦       ¦       ¦--Not.c                           ",0,0,0,6,5.7,0.857068087307012,15.2036764844459
"     ¦       ¦       ¦       ¦       ¦       ¦   °--Control                     ",0,0,0,6,NA,NA,9.50367648444587
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦--Not.c                   ",0,0,0,7,5.7,0.875569872226102,12.5891807004035
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦   °--Control             ",0,0,0,7,NA,NA,6.88918070040349
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦       ¦--Not.c           ",0,0,0,8,5.7,0.888689338049215,9.37413453233758
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦       ¦   °--Control     ",0,0,0,8,NA,NA,3.67413453233758
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦       ¦       ¦--Not.c   ",0,0,0,9,5.7,0.900154486561734,5.7
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦       ¦       °--Canceled",0,0,1,9,-14.59,0.099845513438266,-14.59
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦       °--Canceled        ",0,0,1,8,-14.59,0.111310661950785,-12.9503561173792
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦           °--Control     ",0,0,1,8,NA,NA,1.63964388262079
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦               ¦--Not.c   ",0,0,1,9,5.7,0.799883877901468,5.7
"     ¦       ¦       ¦       ¦       ¦       ¦       ¦               °--Canceled",0,0,2,9,-14.59,0.200116122098532,-14.59
"     ¦       ¦       ¦       ¦       ¦       ¦       °--Canceled                ",0,0,1,7,-14.59,0.124430127773898,-12.2079023787386
"     ¦       ¦       ¦       ¦       ¦       ¦           °--Control             ",0,0,1,7,NA,NA,2.38209762126141
"     ¦       ¦       ¦       ¦       ¦       ¦               ¦--Not.c           ",0,0,1,8,5.7,0.777917531356081,7.3372475011141
"     ¦       ¦       ¦       ¦       ¦       ¦               ¦   °--Control     ",0,0,1,8,NA,NA,1.6372475011141
"     ¦       ¦       ¦       ¦       ¦       ¦               ¦       ¦--Not.c   ",0,0,1,9,5.7,0.799765771370828,5.7
"     ¦       ¦       ¦       ¦       ¦       ¦               ¦       °--Canceled",0,0,2,9,-14.59,0.200234228629172,-14.59
"     ¦       ¦       ¦       ¦       ¦       ¦               °--Canceled        ",0,0,2,8,-14.59,0.222082468643919,-14.9749589063067
"     ¦       ¦       ¦       ¦       ¦       ¦                   °--Control     ",0,0,2,8,NA,NA,-0.384958906306729
"     ¦       ¦       ¦       ¦       ¦       ¦                       ¦--Not.c   ",0,0,2,9,5.7,0.700100596042054,5.7
"     ¦       ¦       ¦       ¦       ¦       ¦                       °--Canceled",0,0,3,9,-14.59,0.299899403957946,-14.59
"     ¦       ¦       ¦       ¦       ¦       °--Canceled                        ",0,0,1,6,-14.59,0.142931912692987,-12.6972313988519
"     ¦       ¦       ¦       ¦       ¦           °--Control                     ",0,0,1,6,NA,NA,1.89276860114807
"     ¦       ¦       ¦       ¦       ¦               ¦--Not.c                   ",0,0,1,7,5.7,0.750376984968488,8.07896197150867
"     ¦       ¦       ¦       ¦       ¦               ¦   °--Control             ",0,0,1,7,NA,NA,2.37896197150867
