"Date","Pageviews","Ads"
2010-10-04,64,FALSE
2010-10-05,50,FALSE
2010-10-06,135,FALSE
2010-10-07,81,FALSE
2010-10-08,216,FALSE
2010-10-09,65,FALSE
2010-10-10,27,FALSE
2010-10-11,2,FALSE
2010-10-12,41,FALSE
2010-10-13,14,FALSE
2010-10-14,114,FALSE
2010-10-15,53,FALSE
2010-10-16,9,FALSE
2010-10-17,50,FALSE
2010-10-18,36,FALSE
2010-10-19,21,FALSE
2010-10-20,24,FALSE
2010-10-21,8,FALSE
2010-10-22,31,FALSE
2010-10-23,24,FALSE
2010-10-24,6,FALSE
2010-10-25,33,FALSE
2010-10-26,13,FALSE
2010-10-27,40,FALSE
2010-10-28,14,FALSE
2010-10-29,15,FALSE
2010-10-30,31,FALSE
2010-10-31,25,FALSE
2010-11-01,15,FALSE
2010-11-02,11,FALSE
2010-11-03,12,FALSE
2010-11-04,11,FALSE
2010-11-05,7,FALSE
2010-11-06,15,FALSE
2010-11-07,25,FALSE
2010-11-08,27,FALSE
2010-11-09,9,FALSE
2010-11-10,11,FALSE
2010-11-11,8,FALSE
2010-11-12,14,FALSE
2010-11-13,1,FALSE
2010-11-14,21,FALSE
2010-11-15,10,FALSE
2010-11-16,3,FALSE
2010-11-17,4,FALSE
2010-11-18,16,FALSE
2010-11-19,14,FALSE
2010-11-20,16,FALSE
2010-11-21,10,FALSE
2010-11-22,12,FALSE
2010-11-23,21,FALSE
2010-11-24,1,FALSE
2010-11-25,4,FALSE
2010-11-26,6,FALSE
2010-11-27,7,FALSE
2010-11-28,28,FALSE
2010-11-29,23,FALSE
2010-11-30,46,FALSE
2010-12-01,15,FALSE
2010-12-02,8,FALSE
2010-12-03,5,FALSE
2010-12-04,8,FALSE
2010-12-05,8,FALSE
2010-12-06,18,FALSE
2010-12-07,13,FALSE
2010-12-08,11,FALSE
2010-12-09,17,FALSE
2010-12-10,24,FALSE
2010-12-11,1,FALSE
2010-12-12,5,FALSE
2010-12-13,15,FALSE
2010-12-14,2,FALSE
2010-12-15,2,FALSE
2010-12-16,7,FALSE
2010-12-17,5,FALSE
2010-12-18,11,FALSE
2010-12-19,13,FALSE
2010-12-20,8,FALSE
2010-12-21,14,FALSE
2010-12-22,8,FALSE
2010-12-23,6,FALSE
2010-12-24,7,FALSE
2010-12-25,6,FALSE
2010-12-26,10,FALSE
2010-12-27,9,FALSE
2010-12-28,3,FALSE
2010-12-29,12,FALSE
2010-12-30,10,FALSE
2010-12-31,6,FALSE
2011-01-01,39,FALSE
2011-01-02,32,FALSE
2011-01-03,17,FALSE
2011-01-04,39,FALSE
2011-01-05,45,FALSE
2011-01-06,19,FALSE
2011-01-07,10,FALSE
2011-01-08,17,FALSE
2011-01-09,12,FALSE
2011-01-10,7,FALSE
2011-01-11,32,FALSE
2011-01-12,22,FALSE
2011-01-13,1,FALSE
2011-01-14,32,FALSE
2011-01-15,7,FALSE
2011-01-16,9,FALSE
2011-01-17,45,FALSE
2011-01-18,21,FALSE
2011-01-19,13,FALSE
2011-01-20,5,FALSE
2011-01-21,5,FALSE
2011-01-22,4,FALSE
2011-01-23,33,FALSE
2011-01-24,26,FALSE
2011-01-25,36,FALSE
2011-01-26,19,FALSE
2011-01-27,40,FALSE
2011-01-28,12,FALSE
2011-01-29,11,FALSE
2011-01-30,3,FALSE
2011-01-31,7,FALSE
2011-02-01,9,FALSE
2011-02-02,9,FALSE
2011-02-03,4,FALSE
2011-02-04,8,FALSE
2011-02-05,2,FALSE
2011-02-06,29,FALSE
2011-02-07,21,FALSE
2011-02-08,15,FALSE
2011-02-09,79,FALSE
2011-02-10,103,FALSE
2011-02-11,28,FALSE
2011-02-12,44,FALSE
2011-02-13,16,FALSE
2011-02-14,55,FALSE
2011-02-15,8,FALSE
2011-02-16,10,FALSE
2011-02-17,22,FALSE
2011-02-18,10,FALSE
2011-02-19,15,FALSE
2011-02-20,43,FALSE
2011-02-21,16,FALSE
2011-02-22,29,FALSE
2011-02-23,163,FALSE
2011-02-24,209,FALSE
2011-02-25,131,FALSE
2011-02-26,203,FALSE
2011-02-27,331,FALSE
2011-02-28,344,FALSE
2011-03-01,160,FALSE
2011-03-02,147,FALSE
2011-03-03,185,FALSE
2011-03-04,129,FALSE
2011-03-05,274,FALSE
2011-03-06,172,FALSE
2011-03-07,175,FALSE
2011-03-08,143,FALSE
2011-03-09,244,FALSE
2011-03-10,192,FALSE
2011-03-11,137,FALSE
2011-03-12,140,FALSE
2011-03-13,175,FALSE
2011-03-14,219,FALSE
2011-03-15,167,FALSE
2011-03-16,206,FALSE
2011-03-17,129,FALSE
2011-03-18,330,FALSE
2011-03-19,276,FALSE
2011-03-20,629,FALSE
2011-03-21,293,FALSE
2011-03-22,276,FALSE
2011-03-23,172,FALSE
2011-03-24,138,FALSE
2011-03-25,183,FALSE
2011-03-26,236,FALSE
2011-03-27,270,FALSE
2011-03-28,272,FALSE
2011-03-29,470,FALSE
2011-03-30,204,FALSE
2011-03-31,229,FALSE
2011-04-01,334,FALSE
2011-04-02,328,FALSE
2011-04-03,285,FALSE
2011-04-04,266,FALSE
2011-04-05,273,FALSE
2011-04-06,328,FALSE
2011-04-07,233,FALSE
2011-04-08,344,FALSE
2011-04-09,266,FALSE
2011-04-10,284,FALSE
2011-04-11,260,FALSE
2011-04-12,243,FALSE
2011-04-13,313,FALSE
2011-04-14,299,FALSE
2011-04-15,247,FALSE
2011-04-16,300,FALSE
2011-04-17,378,FALSE
2011-04-18,258,FALSE
2011-04-19,356,FALSE
2011-04-20,454,FALSE
2011-04-21,297,FALSE
2011-04-22,260,FALSE
2011-04-23,221,FALSE
2011-04-24,2105,FALSE
2011-04-25,590,FALSE
2011-04-26,708,FALSE
2011-04-27,342,FALSE
2011-04-28,338,FALSE
2011-04-29,296,FALSE
2011-04-30,454,FALSE
2011-05-01,507,FALSE
2011-05-02,578,FALSE
2011-05-03,1093,FALSE
2011-05-04,514,FALSE
2011-05-05,370,FALSE
2011-05-06,319,FALSE
2011-05-07,252,FALSE
2011-05-08,845,FALSE
2011-05-09,601,FALSE
2011-05-10,554,FALSE
2011-05-11,418,FALSE
2011-05-12,315,FALSE
2011-05-13,336,FALSE
2011-05-14,275,FALSE
2011-05-15,443,FALSE
2011-05-16,254,FALSE
2011-05-17,259,FALSE
2011-05-18,178,FALSE
2011-05-19,425,FALSE
2011-05-20,316,FALSE
2011-05-21,302,FALSE
2011-05-22,271,FALSE
2011-05-23,319,FALSE
2011-05-24,244,FALSE
2011-05-25,218,FALSE
2011-05-26,260,FALSE
2011-05-27,249,FALSE
2011-05-28,267,FALSE
2011-05-29,263,FALSE
2011-05-30,437,FALSE
2011-05-31,449,FALSE
2011-06-01,632,FALSE
2011-06-02,502,FALSE
2011-06-03,450,FALSE
2011-06-04,353,FALSE
2011-06-05,384,FALSE
2011-06-06,304,FALSE
2011-06-07,353,FALSE
2011-06-08,360,FALSE
2011-06-09,324,FALSE
2011-06-10,221,FALSE
2011-06-11,215,FALSE
2011-06-12,355,FALSE
2011-06-13,360,FALSE
2011-06-14,389,FALSE
2011-06-15,360,FALSE
2011-06-16,390,FALSE
2011-06-17,371,FALSE
2011-06-18,229,FALSE
2011-06-19,294,FALSE
2011-06-20,325,FALSE
2011-06-21,417,FALSE
2011-06-22,460,FALSE
2011-06-23,401,FALSE
2011-06-24,529,FALSE
2011-06-25,270,FALSE
2011-06-26,329,FALSE
2011-06-27,251,FALSE
2011-06-28,333,FALSE
2011-06-29,393,FALSE
2011-06-30,335,FALSE
2011-07-01,304,FALSE
2011-07-02,304,FALSE
2011-07-03,415,FALSE
2011-07-04,356,FALSE
2011-07-05,293,FALSE
2011-07-06,349,FALSE
2011-07-07,353,FALSE
2011-07-08,273,FALSE
2011-07-09,223,FALSE
2011-07-10,246,FALSE
2011-07-11,2448,FALSE
2011-07-12,3456,FALSE
2011-07-13,2568,FALSE
2011-07-14,1572,FALSE
2011-07-15,935,FALSE
2011-07-16,783,FALSE
2011-07-17,1055,FALSE
2011-07-18,861,FALSE
2011-07-19,859,FALSE
2011-07-20,843,FALSE
2011-07-21,779,FALSE
2011-07-22,926,FALSE
2011-07-23,719,FALSE
2011-07-24,929,FALSE
2011-07-25,1014,FALSE
2011-07-26,1369,FALSE
2011-07-27,1134,FALSE
2011-07-28,769,FALSE
2011-07-29,821,FALSE
2011-07-30,685,FALSE
2011-07-31,610,FALSE
2011-08-01,1106,FALSE
2011-08-02,822,FALSE
2011-08-03,656,FALSE
2011-08-04,651,FALSE
2011-08-05,659,FALSE
2011-08-06,674,FALSE
2011-08-07,656,FALSE
2011-08-08,721,FALSE
2011-08-09,792,FALSE
2011-08-10,819,FALSE
2011-08-11,646,FALSE
2011-08-12,592,FALSE
2011-08-13,526,FALSE
2011-08-14,648,FALSE
2011-08-15,861,FALSE
2011-08-16,663,FALSE
2011-08-17,588,FALSE
2011-08-18,594,FALSE
2011-08-19,680,FALSE
2011-08-20,727,FALSE
2011-08-21,937,FALSE
2011-08-22,845,FALSE
2011-08-23,842,FALSE
2011-08-24,692,FALSE
2011-08-25,940,FALSE
2011-08-26,640,FALSE
2011-08-27,459,FALSE
2011-08-28,3353,FALSE
2011-08-29,1504,FALSE
2011-08-30,1156,FALSE
2011-08-31,1239,FALSE
2011-09-01,1122,FALSE
2011-09-02,879,FALSE
2011-09-03,678,FALSE
2011-09-04,811,FALSE
2011-09-05,869,FALSE
2011-09-06,814,FALSE
2011-09-07,740,FALSE
2011-09-08,646,FALSE
2011-09-09,592,FALSE
2011-09-10,599,FALSE
2011-09-11,825,FALSE
2011-09-12,829,FALSE
