"Date","Potassium.evening.nonrandom","Potassium.evening.random","Potassium.morning.random"
2012-10-12,1,NA,NA
2012-10-13,1,NA,NA
2012-10-14,0,NA,NA
2012-10-15,1,NA,NA
2012-10-16,0,NA,NA
2012-10-17,1,NA,NA
2012-10-18,0,NA,NA
2012-10-19,0,NA,NA
2012-10-20,1,NA,NA
2012-10-21,NA,1,NA
2012-10-22,NA,1,NA
2012-10-23,NA,0,NA
2012-10-24,NA,0,NA
2012-10-25,NA,1,NA
2012-10-26,NA,1,NA
2012-10-27,NA,1,NA
2012-10-28,NA,0,NA
2012-10-29,NA,1,NA
2012-10-30,NA,1,NA
2012-10-31,NA,0,NA
2012-11-01,NA,1,NA
2012-11-02,NA,0,NA
2012-11-03,NA,1,NA
2012-11-04,NA,1,NA
2012-11-05,NA,0,NA
2012-11-06,NA,1,NA
2012-11-11,NA,1,NA
2012-11-13,NA,0,NA
2012-11-14,NA,0,NA
2012-11-15,NA,1,NA
2012-11-16,NA,0,NA
2012-11-17,NA,1,NA
2012-11-18,NA,1,NA
2012-11-19,NA,0,NA
2012-11-20,NA,1,NA
2012-11-21,NA,0,NA
2012-11-22,NA,1,NA
2012-11-23,NA,1,NA
2012-11-24,NA,0,NA
2012-11-25,NA,1,NA
2012-11-26,NA,1,NA
2012-11-27,NA,0,NA
2012-11-28,NA,0,NA
2012-11-29,NA,0,NA
2012-11-30,NA,0,NA
2012-12-01,0,NA,NA
2012-12-02,0,NA,NA
2012-12-03,0,NA,NA
2012-12-04,0,NA,NA
2012-12-05,0,NA,NA
2012-12-06,0,NA,NA
2012-12-07,NA,1,NA
2012-12-08,NA,0,NA
2012-12-09,NA,0,NA
2012-12-10,NA,1,NA
2012-12-11,NA,1,NA
2012-12-13,NA,0,NA
2012-12-14,NA,0,NA
2012-12-15,NA,1,NA
2012-12-16,NA,0,NA
2012-12-17,NA,0,NA
2012-12-18,NA,0,NA
2012-12-19,NA,1,NA
2013-01-02,NA,NA,0
2013-01-03,NA,NA,0
2013-01-04,NA,NA,0
2013-01-05,NA,NA,0
2013-01-06,NA,NA,1
2013-01-07,NA,NA,0
2013-01-08,NA,NA,0
2013-01-09,NA,NA,0
2013-01-10,NA,NA,1
2013-01-11,NA,NA,0
2013-01-12,NA,NA,0
2013-01-13,NA,NA,1
2013-01-14,NA,NA,1
2013-01-15,NA,NA,0
2013-01-16,NA,NA,0
2013-01-17,NA,NA,1
2013-01-18,NA,NA,0
2013-01-19,NA,NA,1
2013-01-20,NA,NA,1
2013-01-21,NA,NA,1
2013-01-22,NA,NA,0
2013-01-23,NA,NA,0
2013-01-24,NA,NA,0
2013-01-25,NA,NA,1
2013-01-26,NA,NA,1
2013-01-27,NA,NA,0
2013-01-28,NA,NA,0
2013-01-29,NA,NA,1
2013-01-30,NA,NA,0
2013-01-31,NA,NA,0
2013-02-01,NA,NA,1
2013-02-02,NA,NA,1
2013-02-03,NA,NA,1
2013-02-04,NA,NA,0
2013-02-05,NA,NA,1
2013-02-06,NA,NA,1
2013-02-07,NA,NA,0
2013-02-08,NA,NA,0
2013-02-09,NA,NA,0
2013-02-10,NA,NA,0
2013-02-11,NA,NA,1
2013-02-12,NA,NA,1
2013-02-13,NA,NA,0
2013-02-14,NA,NA,1
2013-02-15,NA,NA,0
2013-02-16,NA,NA,0
2013-02-17,NA,NA,1
2013-02-18,NA,NA,0
2013-02-19,NA,NA,1
2013-02-20,NA,NA,1
2013-02-21,NA,NA,1
