"Date","Start.of.Night","Time.to.Z","Total.Z","Time.in.Wake","Rise.Time","Morning.Caffeine.r","Morning.Caffeine","Caffeine","MP"
2013-11-10,405,12,541,20,471,NA,0,0,4
2013-11-11,430,44,487,34,466,NA,1,1,3
2013-11-12,425,5,579,13,516,NA,1,1,3
2013-11-13,435,16,533,29,506,NA,1,1,2
2013-11-14,470,12,504,27,521,NA,0,0,4
2013-11-15,435,17,552,4,516,NA,1,1,3
2013-11-16,430,17,544,33,516,NA,0,0,3
2013-11-17,410,39,554,20,526,NA,0,0,3
2013-11-18,460,18,466,38,466,NA,0,0,2
2013-11-19,430,2,604,25,566,NA,1,1,3
2013-11-20,445,12,508,13,481,NA,0,0,4
2013-11-21,455,24,495,29,501,NA,1,1,4
2013-11-22,420,10,569,28,521,NA,0,0,4
2013-11-23,405,2,548,46,451,NA,1,1,3
2013-11-24,440,33,488,18,476,NA,0,0,3
2013-11-25,440,10,577,16,541,NA,1,1,4
2013-11-26,420,23,582,34,566,NA,0,0,4
2013-11-27,445,30,477,20,471,NA,0,0,3
2013-11-28,425,20,537,6,496,NA,0,0,3
2013-11-29,420,2,500,31,451,NA,1,1,4
2013-11-30,395,37,523,20,471,NA,0,0,4
2013-12-01,430,15,481,24,441,NA,1,1,3
2013-12-02,420,13,538,46,511,NA,0,0,3
2013-12-03,420,15,543,36,501,NA,0,0,3
2013-12-04,455,11,456,47,476,NA,1,1,2
2013-12-05,455,11,528,4,501,NA,1,1,3
2013-12-06,450,10,466,27,446,NA,0,0,2
2013-12-07,450,3,558,12,526,NA,1,1,3
2013-12-08,425,13,564,1,546,NA,0,0,3
2013-12-09,440,3,515,11,496,NA,0,0,4
2013-12-10,420,31,586,24,571,NA,1,1,3
2013-12-11,445,21,512,21,496,NA,0,0,3
2013-12-12,425,1,589,34,576,NA,0,0,3
2013-12-13,435,15,537,14,496,NA,0,0,4
2013-12-14,470,26,490,29,496,NA,1,1,4
2013-12-15,435,22,501,21,481,NA,0,0,3
2013-12-16,430,1,620,17,581,NA,1,1,2
2013-12-17,440,11,499,50,511,NA,0,0,3
2013-12-18,450,3,530,7,496,NA,1,1,3
2013-12-19,445,6,540,7,506,NA,0,0,2
2013-12-20,460,15,524,18,521,NA,1,1,3
2013-12-21,490,1,471,7,491,NA,0,0,4
2013-12-22,480,31,465,21,496,NA,1,1,4
2013-12-23,420,3,581,6,531,NA,1,1,3
2013-12-24,420,1,457,10,386,NA,0,0,3
2013-12-25,360,2,567,7,511,NA,0,0,3
2013-12-26,395,1,560,11,481,NA,0,0,4
2013-12-27,440,1,552,2,511,NA,0,0,3
2013-12-28,425,19,496,27,461,NA,0,0,3
2013-12-29,470,15,498,9,506,NA,0,0,4
2013-12-30,470,19,474,25,471,NA,1,1,4
2013-12-31,440,18,523,13,491,NA,1,1,3
2014-01-01,425,16,337,9,441,NA,0,0,4
2014-01-02,475,8,512,28,526,NA,1,1,3
2014-01-03,425,1,540,13,491,NA,0,0,2
2014-01-04,395,17,477,15,406,NA,0,0,3
2014-01-05,430,6,391,27,361,NA,1,1,4
2014-01-06,455,29,472,41,466,NA,0,0,3
2014-01-07,440,21,513,20,486,NA,1,1,2
2014-01-08,425,2,527,13,456,NA,0,0,4
2014-01-09,420,15,571,12,521,NA,0,0,3
2014-01-10,410,16,589,26,541,NA,0,0,4
2014-01-11,450,12,506,24,501,NA,1,1,4
2014-01-12,420,32,486,30,446,NA,0,0,3
2014-01-13,415,19,558,16,506,NA,1,1,4
2014-01-14,410,9,604,12,541,NA,0,0,4
2014-01-15,380,19,625,5,526,NA,0,0,3
2014-01-16,400,2,527,18,446,NA,0,0,2
2014-01-17,395,31,496,40,476,NA,1,1,3
2014-01-18,425,1,492,18,456,NA,0,0,3
2014-01-19,425,2,512,9,456,NA,0,0,3
2014-01-20,415,2,600,13,536,NA,1,1,3
2014-01-21,430,1,530,19,486,NA,0,0,2
2014-01-22,430,5,498,8,446,NA,1,1,2
2014-01-23,405,18,541,17,461,NA,0,0,4
2014-01-24,420,14,542,17,496,NA,0,0,4
2014-01-25,410,13,536,4,471,NA,1,1,4
2014-01-26,415,2,590,13,526,NA,0,0,3
2014-01-27,425,2,594,25,556,NA,1,1,3
2014-01-28,470,1,550,10,536,NA,0,0,4
2014-01-29,420,6,552,5,491,NA,0,0,3
2014-01-30,415,7,549,8,491,NA,1,1,4
2014-01-31,440,15,558,6,526,NA,0,0,2
2014-02-01,440,2,543,32,536,NA,0,0,3
2014-02-02,440,2,549,32,516,NA,1,1,3
2014-02-03,420,2,513,13,611,NA,0,0,3
2014-02-04,450,58,400,27,561,NA,0,0,2
2014-02-05,440,5,570,43,576,NA,0,0,2
2014-02-06,515,2,556,20,606,NA,0,0,3
2014-02-07,440,25,571,27,571,NA,0,0,2
2014-02-08,450,68,548,4,581,NA,0,0,3
2014-02-09,435,13,612,7,566,NA,0,0,4
2014-02-10,440,13,581,25,566,NA,0,0,3
2014-02-11,435,19,576,27,551,NA,0,0,3
2014-02-12,420,17,588,10,536,NA,0,0,4
2014-02-13,430,1,613,5,561,NA,1,1,3
2014-02-14,500,2,545,20,571,NA,0,0,4
2014-02-15,455,2,562,51,586,NA,0,0,4
2014-02-16,425,16,586,4,541,NA,1,1,3
2014-02-17,445,23,541,33,541,NA,0,0,4
2014-02-18,425,13,570,5,521,NA,0,0,3
2014-02-19,445,1,557,20,526,NA,0,0,3
2014-02-20,460,1,534,11,511,NA,0,0,4
2014-02-21,420,26,574,18,546,NA,0,0,3
2014-02-22,445,11,506,31,506,NA,0,0,2
2014-02-23,430,12,565,28,551,NA,1,1,2
2014-02-24,445,11,507,19,491,NA,0,0,3
2014-02-25,430,7,556,14,516,NA,1,1,3
2014-02-26,420,16,578,19,521,NA,0,0,2
2014-02-27,470,18,513,18,496,NA,0,0,3
2014-02-28,440,25,549,18,536,NA,0,0,3
2014-03-01,425,21,487,15,466,NA,1,1,4
2014-03-02,470,1,534,14,516,NA,0,0,3
2014-03-03,535,9,451,32,511,NA,0,0,2
2014-03-04,485,3,487,24,501,NA,0,0,3
2014-03-05,410,7,551,35,511,NA,1,1,4
2014-03-06,415,2,553,19,496,NA,0,0,2
2014-03-07,435,27,538,28,521,NA,0,0,3
2014-03-08,455,1,506,39,551,NA,0,0,4
2014-03-09,440,30,579,9,576,NA,0,0,3
2014-03-10,480,17,540,20,561,NA,0,0,3
2014-03-11,550,1,485,21,591,NA,0,0,2
2014-03-12,435,51,586,20,596,NA,0,0,3
2014-03-13,605,1,472,11,596,NA,0,0,2
2014-03-14,475,15,616,16,611,NA,0,0,3
2014-03-15,445,12,544,5,591,NA,0,0,4
2014-03-16,540,1,542,21,626,NA,0,0,3
2014-03-17,460,90,502,88,606,NA,0,0,4
2014-03-18,450,2,635,25,611,NA,0,0,4
2014-03-19,510,29,544,15,586,NA,0,0,3
2014-03-20,510,6,576,29,616,NA,0,0,2
2014-03-21,490,1,579,23,586,NA,0,0,3
2014-03-22,480,1,584,27,591,NA,0,0,2
2014-03-23,480,10,597,14,651,NA,0,0,2
2014-03-24,510,2,517,19,536,NA,0,0,4
2014-03-25,405,1,567,14,516,NA,0,0,4
2014-03-26,470,2,580,23,566,NA,0,0,3
2014-03-27,505,14,497,33,561,NA,0,0,3
2014-03-28,425,1,549,10,516,NA,0,0,3
2014-03-29,425,1,591,18,551,NA,0,0,4
2014-03-30,535,1,439,6,481,NA,0,0,2
2014-03-31,420,1,595,7,526,NA,0,0,3
2014-04-01,425,1,576,25,551,NA,0,0,3
2014-04-02,435,2,533,23,481,NA,0,0,2
2014-04-03,435,1,566,24,516,NA,0,0,3
2014-04-04,460,1,544,18,516,NA,0,0,3
2014-04-05,600,2,456,31,561,NA,0,0,4
2014-04-06,555,7,536,17,601,NA,0,0,4
2014-04-07,465,2,458,168,656,NA,NA,NA,3
2014-04-08,500,1,610,12,651,NA,NA,NA,3
2014-04-09,470,48,348,93,451,NA,NA,NA,3
2014-04-10,495,2,614,24,646,NA,NA,NA,2
2014-04-11,480,1,281,142,991,NA,NA,NA,3
2014-04-12,490,1,613,18,621,NA,NA,NA,3
2014-04-13,465,2,586,26,576,NA,NA,NA,3
2014-04-14,495,5,632,8,656,NA,NA,NA,4
2014-04-15,540,10,548,14,611,NA,NA,NA,2
2014-04-16,485,2,578,26,626,NA,NA,NA,2
2014-04-17,505,13,574,7,601,NA,NA,NA,3
2014-04-18,500,2,519,10,541,NA,NA,NA,3
2014-04-19,455,5,550,28,546,NA,NA,NA,2
2014-04-20,550,1,480,22,556,NA,NA,NA,4
2014-04-21,470,4,557,27,561,NA,NA,NA,4
2014-04-22,460,30,524,50,531,NA,NA,NA,4
2014-04-23,495,1,559,12,636,NA,NA,NA,3
2014-04-24,485,5,540,17,546,NA,NA,NA,3
2014-04-25,445,6,605,20,636,NA,NA,NA,3
2014-04-26,495,6,578,9,616,NA,NA,NA,4
2014-04-27,585,1,567,4,661,NA,NA,NA,2
2014-04-28,525,1,575,25,621,NA,NA,NA,2
2014-04-29,500,1,577,12,596,NA,NA,NA,2
2014-04-30,470,2,601,13,596,NA,NA,NA,3
2014-05-01,490,25,546,38,606,NA,NA,NA,3
2014-05-02,465,19,597,35,611,NA,NA,NA,3
2014-05-03,495,1,544,25,571,NA,NA,NA,2
2014-05-04,500,25,488,40,571,NA,NA,NA,4
2014-05-05,475,49,408,30,551,NA,NA,NA,3
2014-05-06,490,2,493,73,536,NA,NA,NA,4
2014-05-07,465,14,574,7,581,NA,NA,NA,2
2014-05-08,500,21,565,3,596,NA,NA,NA,3
2014-05-09,495,31,518,35,571,NA,NA,NA,4
2014-05-10,470,40,557,28,586,NA,NA,NA,4
2014-05-11,540,18,490,29,631,NA,NA,NA,3
2014-05-12,470,32,600,12,616,NA,NA,NA,3
2014-05-13,475,37,528,22,631,NA,NA,NA,3
2014-05-14,455,27,609,39,636,NA,NA,NA,3
2014-05-15,470,35,634,24,651,NA,NA,NA,3
2014-05-16,480,25,563,63,611,NA,NA,NA,2
2014-05-17,490,33,640,11,676,NA,NA,NA,3
2014-05-18,465,30,629,16,651,NA,NA,NA,2
2014-05-19,485,21,577,11,621,NA,NA,NA,2
2014-05-20,465,17,633,3,626,NA,NA,NA,2
2014-05-21,550,37,552,23,676,NA,NA,NA,4
2014-05-22,465,42,533,32,561,NA,NA,NA,4
2014-05-23,475,23,520,76,601,NA,NA,NA,4
2014-05-24,450,26,592,19,591,NA,NA,NA,3
2014-05-25,460,18,544,9,571,NA,NA,NA,3
2014-05-26,490,23,503,30,556,NA,NA,NA,3
2014-05-27,490,14,528,6,536,NA,NA,NA,3
2014-05-28,465,18,432,61,551,NA,NA,NA,4
2014-05-29,470,14,545,18,571,NA,NA,NA,4
2014-05-30,460,38,597,22,606,NA,NA,NA,4
2014-05-31,505,33,487,17,541,NA,NA,NA,4
2014-06-01,485,16,508,30,536,NA,NA,NA,3
2014-06-02,460,12,578,39,551,NA,NA,NA,3
2014-06-03,480,19,509,59,536,NA,NA,NA,2
2014-06-04,475,17,516,50,511,NA,NA,NA,3
2014-06-05,485,20,536,8,566,NA,NA,NA,4
2014-06-06,480,27,501,71,581,NA,NA,NA,4
2014-06-07,465,10,566,20,551,NA,NA,NA,3
2014-06-08,490,42,543,16,601,NA,NA,NA,3
2014-06-09,480,37,302,6,551,NA,NA,NA,3
2014-06-10,485,40,488,47,526,NA,NA,NA,3
2014-06-11,475,17,613,21,636,NA,NA,NA,3
2014-06-12,480,35,494,10,536,NA,NA,NA,3
2014-06-13,485,16,612,18,631,NA,NA,NA,2
2014-06-14,480,33,594,25,646,NA,NA,NA,2
2014-06-15,505,16,570,54,656,NA,NA,NA,3
2014-06-16,520,42,507,49,576,NA,NA,NA,3
2014-06-17,465,17,564,19,611,NA,NA,NA,3
2014-06-18,480,25,549,15,591,NA,NA,NA,4
2014-06-19,475,24,586,26,606,NA,NA,NA,3
2014-06-20,470,21,525,34,591,NA,NA,NA,3
